;text;description;action;expected_response;positive;actor;request_type;endpoint;response_code
10;" менеджер удаляет товар из инвентаря.
 действие: delete-запрос к конечной точке ""/inventory/item/remove"" с параметром item_id.
 ожидаемый ответ: подтверждение удаления товара из инвентаря.";менеджер удаляет товар из инвентаря.;"delete-запрос к конечной точке ""/inventory/item/remove"" с параметром item_id.";подтверждение удаления товара из инвентаря.;True;менеджер;delete;/inventory/item/remove;200
11;" редактор удаляет страницу из вики.
 действие: delete-запрос к конечной точке ""/wiki/page/remove"" с параметром page_id.
 ожидаемый ответ: подтверждение удаления страницы из вики.";редактор удаляет страницу из вики.;"delete-запрос к конечной точке ""/wiki/page/remove"" с параметром page_id.";подтверждение удаления страницы из вики.;True;редактор;delete;/wiki/page/remove;200
12;" администратор удаляет категорию из каталога.
 действие: delete-запрос к конечной точке ""/catalog/category/remove"" с параметром category_id.
 ожидаемый ответ: подтверждение удаления категории из каталога.";администратор удаляет категорию из каталога.;"delete-запрос к конечной точке ""/catalog/category/remove"" с параметром category_id.";подтверждение удаления категории из каталога.;True;администратор;delete;/catalog/category/remove;200
13;" модератор удаляет отзыв о товаре.
 действие: delete-запрос к конечной точке ""/product/review/remove"" с параметром review_id.
 ожидаемый ответ: подтверждение удаления отзыва о товаре.";модератор удаляет отзыв о товаре.;"delete-запрос к конечной точке ""/product/review/remove"" с параметром review_id.";подтверждение удаления отзыва о товаре.;True;модератор;delete;/product/review/remove;200
14;" менеджер удаляет предложение сотрудничества.
 действие: delete-запрос к конечной точке ""/partnership/proposal/remove"" с параметром proposal_id.
 ожидаемый ответ: подтверждение удаления предложения сотрудничества.";менеджер удаляет предложение сотрудничества.;"delete-запрос к конечной точке ""/partnership/proposal/remove"" с параметром proposal_id.";подтверждение удаления предложения сотрудничества.;True;менеджер;delete;/partnership/proposal/remove;200
15;" редактор удаляет страницу из архива.
 действие: delete-запрос к конечной точке ""/archive/page/remove"" с параметром page_id.
 ожидаемый ответ: подтверждение удаления страницы из архива.";редактор удаляет страницу из архива.;"delete-запрос к конечной точке ""/archive/page/remove"" с параметром page_id.";подтверждение удаления страницы из архива.;True;редактор;delete;/archive/page/remove;200
16;" администратор удаляет скидочный купон из системы.
 действие: delete-запрос к конечной точке ""/system/coupon/remove"" с параметром coupon_id.
 ожидаемый ответ: подтверждение удаления скидочного купона из системы.";администратор удаляет скидочный купон из системы.;"delete-запрос к конечной точке ""/system/coupon/remove"" с параметром coupon_id.";подтверждение удаления скидочного купона из системы.;True;администратор;delete;/system/coupon/remove;200
17;" модератор удаляет статью из базы знаний.
 действие: delete-запрос к конечной точке ""/knowledge-base/article/remove"" с параметром article_id.
 ожидаемый ответ: подтверждение удаления статьи из базы знаний.";модератор удаляет статью из базы знаний.;"delete-запрос к конечной точке ""/knowledge-base/article/remove"" с параметром article_id.";подтверждение удаления статьи из базы знаний.;True;модератор;delete;/knowledge-base/article/remove;200
18;" менеджер удаляет счет из списка.
 действие: delete-запрос к конечной точке ""/invoice/remove"" с параметром invoice_id.
 ожидаемый ответ: подтверждение удаления счета из списка.";менеджер удаляет счет из списка.;"delete-запрос к конечной точке ""/invoice/remove"" с параметром invoice_id.";подтверждение удаления счета из списка.;True;менеджер;delete;/invoice/remove;200
19;" редактор удаляет событие из календаря.
 действие: delete-запрос к конечной точке ""/calendar/event/remove"" с параметром event_id.
 ожидаемый ответ: подтверждение удаления события из календаря.";редактор удаляет событие из календаря.;"delete-запрос к конечной точке ""/calendar/event/remove"" с параметром event_id.";подтверждение удаления события из календаря.;True;редактор;delete;/calendar/event/remove;200
20;" администратор удаляет анкету из системы опросов.
 действие: delete-запрос к конечной точке ""/survey/form/remove"" с параметром form_id.
 ожидаемый ответ: подтверждение удаления анкеты из системы опросов.";администратор удаляет анкету из системы опросов.;"delete-запрос к конечной точке ""/survey/form/remove"" с параметром form_id.";подтверждение удаления анкеты из системы опросов.;True;администратор;delete;/survey/form/remove;200
21;" модератор удаляет голосование с форума.
 действие: delete-запрос к конечной точке ""/forum/poll/remove"" с параметром poll_id.
 ожидаемый ответ: подтверждение удаления голосования с форума.";модератор удаляет голосование с форума.;"delete-запрос к конечной точке ""/forum/poll/remove"" с параметром poll_id.";подтверждение удаления голосования с форума.;True;модератор;delete;/forum/poll/remove;200
22;" менеджер удаляет задачу из списка проекта.
 действие: delete-запрос к конечной точке ""/project/task/remove"" с параметром task_id.
 ожидаемый ответ: подтверждение удаления задачи из списка проекта.";менеджер удаляет задачу из списка проекта.;"delete-запрос к конечной точке ""/project/task/remove"" с параметром task_id.";подтверждение удаления задачи из списка проекта.;True;менеджер;delete;/project/task/remove;200
23;" редактор удаляет документ из архива.
 действие: delete-запрос к конечной точке ""/archive/document/remove"" с параметром document_id.
 ожидаемый ответ: подтверждение удаления документа из архива.";редактор удаляет документ из архива.;"delete-запрос к конечной точке ""/archive/document/remove"" с параметром document_id.";подтверждение удаления документа из архива.;True;редактор;delete;/archive/document/remove;200
24;" администратор удаляет виджет с главной страницы.
 действие: delete-запрос к конечной точке ""/homepage/widget/remove"" с параметром widget_id.
 ожидаемый ответ: подтверждение удаления виджета с главной страницы.";администратор удаляет виджет с главной страницы.;"delete-запрос к конечной точке ""/homepage/widget/remove"" с параметром widget_id.";подтверждение удаления виджета с главной страницы.;True;администратор;delete;/homepage/widget/remove;200
25;" продавец удаляет товар из своего магазина.
действие: delete-запрос к конечной точке ""/store/product/remove"" с параметром product_id.
ожидаемый ответ: подтверждение удаления товара из магазина продавца.";продавец удаляет товар из своего магазина.;"delete-запрос к конечной точке ""/store/product/remove"" с параметром product_id.";подтверждение удаления товара из магазина продавца.;True;продавец;delete;/store/product/remove;200
26;" покупатель удаляет свой аккаунт из системы.
действие: delete-запрос к конечной точке ""/account/remove"" с параметром user_id.
ожидаемый ответ: подтверждение удаления аккаунта покупателя из системы.";покупатель удаляет свой аккаунт из системы.;"delete-запрос к конечной точке ""/account/remove"" с параметром user_id.";подтверждение удаления аккаунта покупателя из системы.;True;покупатель;delete;/account/remove;200
27;" продавец удаляет объявление о продаже автомобиля.
действие: delete-запрос к конечной точке ""/car/sale/ad/remove"" с параметром ad_id.
ожидаемый ответ: подтверждение удаления объявления о продаже автомобиля.";продавец удаляет объявление о продаже автомобиля.;"delete-запрос к конечной точке ""/car/sale/ad/remove"" с параметром ad_id.";подтверждение удаления объявления о продаже автомобиля.;True;продавец;delete;/car/sale/ad/remove;200
28;" покупатель удаляет товар из своего списка желаемого.
действие: delete-запрос к конечной точке ""/wishlist/item/remove"" с параметром item_id.
ожидаемый ответ: подтверждение удаления товара из списка желаемого покупателя.";покупатель удаляет товар из своего списка желаемого.;"delete-запрос к конечной точке ""/wishlist/item/remove"" с параметром item_id.";подтверждение удаления товара из списка желаемого покупателя.;True;покупатель;delete;/wishlist/item/remove;200
29;" продавец удаляет контакт клиента из своего списка контактов.
действие: delete-запрос к конечной точке ""/contacts/remove"" с параметром contact_id.
ожидаемый ответ: подтверждение удаления контакта клиента из списка контактов продавца.";продавец удаляет контакт клиента из своего списка контактов.;"delete-запрос к конечной точке ""/contacts/remove"" с параметром contact_id.";подтверждение удаления контакта клиента из списка контактов продавца.;True;продавец;delete;/contacts/remove;200
30;" покупатель удаляет товар из корзины перед оформлением заказа.
действие: delete-запрос к конечной точке ""/cart/item/remove"" с параметром item_id.
ожидаемый ответ: подтверждение удаления товара из корзины перед оформлением заказа.";покупатель удаляет товар из корзины перед оформлением заказа.;"delete-запрос к конечной точке ""/cart/item/remove"" с параметром item_id.";подтверждение удаления товара из корзины перед оформлением заказа.;True;покупатель;delete;/cart/item/remove;200
31;" продавец удаляет комментарий покупателя под товаром.
действие: delete-запрос к конечной точке ""/product/comment/remove"" с параметром comment_id.
ожидаемый ответ: подтверждение удаления комментария покупателя под товаром.";продавец удаляет комментарий покупателя под товаром.;"delete-запрос к конечной точке ""/product/comment/remove"" с параметром comment_id.";подтверждение удаления комментария покупателя под товаром.;True;продавец;delete;/product/comment/remove;200
32;" покупатель удаляет свой отзыв о продукте.
действие: delete-запрос к конечной точке ""/product/review/remove"" с параметром review_id.
ожидаемый ответ: подтверждение удаления отзыва покупателя о продукте.";покупатель удаляет свой отзыв о продукте.;"delete-запрос к конечной точке ""/product/review/remove"" с параметром review_id.";подтверждение удаления отзыва покупателя о продукте.;True;покупатель;delete;/product/review/remove;200
33;" продавец удаляет заявку на возврат товара от покупателя.
действие: delete-запрос к конечной точке ""/return/request/remove"" с параметром request_id.
ожидаемый ответ: подтверждение удаления заявки на возврат товара от покупателя.";продавец удаляет заявку на возврат товара от покупателя.;"delete-запрос к конечной точке ""/return/request/remove"" с параметром request_id.";подтверждение удаления заявки на возврат товара от покупателя.;True;продавец;delete;/return/request/remove;200
34;" покупатель удаляет товар из своего списка покупок.
действие: delete-запрос к конечной точке ""/shopping-list/item/remove"" с параметром item_id.
ожидаемый ответ: подтверждение удаления товара из списка покупок покупателя.";покупатель удаляет товар из своего списка покупок.;"delete-запрос к конечной точке ""/shopping-list/item/remove"" с параметром item_id.";подтверждение удаления товара из списка покупок покупателя.;True;покупатель;delete;/shopping-list/item/remove;200
35;" продавец удаляет свой аккаунт из системы.
действие: delete-запрос к конечной точке ""/seller/account/remove"" с параметром seller_id.
ожидаемый ответ: подтверждение удаления аккаунта продавца из системы.";продавец удаляет свой аккаунт из системы.;"delete-запрос к конечной точке ""/seller/account/remove"" с параметром seller_id.";подтверждение удаления аккаунта продавца из системы.;True;продавец;delete;/seller/account/remove;200
36;" покупатель удаляет свой отзыв о продавце.
действие: delete-запрос к конечной точке ""/seller/review/remove"" с параметром review_id.
ожидаемый ответ: подтверждение удаления отзыва покупателя о продавце.";покупатель удаляет свой отзыв о продавце.;"delete-запрос к конечной точке ""/seller/review/remove"" с параметром review_id.";подтверждение удаления отзыва покупателя о продавце.;True;покупатель;delete;/seller/review/remove;200
37;" продавец удаляет товар из своего каталога запчастей.
действие: delete-запрос к конечной точке ""/parts/catalog/item/remove"" с параметром item_id.
ожидаемый ответ: подтверждение удаления товара из каталога запчастей продавца.";продавец удаляет товар из своего каталога запчастей.;"delete-запрос к конечной точке ""/parts/catalog/item/remove"" с параметром item_id.";подтверждение удаления товара из каталога запчастей продавца.;True;продавец;delete;/parts/catalog/item/remove;200
38;" покупатель удаляет адрес доставки из своего профиля.
действие: delete-запрос к конечной точке ""/profile/shipping-address/remove"" с параметром address_id.
ожидаемый ответ: подтверждение удаления адреса доставки из профиля покупателя.";покупатель удаляет адрес доставки из своего профиля.;"delete-запрос к конечной точке ""/profile/shipping-address/remove"" с параметром address_id.";подтверждение удаления адреса доставки из профиля покупателя.;True;покупатель;delete;/profile/shipping-address/remove;200
39;" продавец удаляет услугу из своего списка предложений.
действие: delete-запрос к конечной точке ""/services/listing/remove"" с параметром service_id.
ожидаемый ответ: подтверждение удаления услуги из списка предложений продавца.";продавец удаляет услугу из своего списка предложений.;"delete-запрос к конечной точке ""/services/listing/remove"" с параметром service_id.";подтверждение удаления услуги из списка предложений продавца.;True;продавец;delete;/services/listing/remove;200
40;" покупатель удаляет товар из списка избранных товаров.
действие: delete-запрос к конечной точке ""/favorites/item/remove"" с параметром item_id.
ожидаемый ответ: подтверждение удаления товара из списка избранных товаров покупателя.";покупатель удаляет товар из списка избранных товаров.;"delete-запрос к конечной точке ""/favorites/item/remove"" с параметром item_id.";подтверждение удаления товара из списка избранных товаров покупателя.;True;покупатель;delete;/favorites/item/remove;200
41;" продавец удаляет комментарий покупателя под своим объявлением.
действие: delete-запрос к конечной точке ""/ad/comment/remove"" с параметром comment_id.
ожидаемый ответ: подтверждение удаления комментария покупателя под объявлением.";продавец удаляет комментарий покупателя под своим объявлением.;"delete-запрос к конечной точке ""/ad/comment/remove"" с параметром comment_id.";подтверждение удаления комментария покупателя под объявлением.;True;продавец;delete;/ad/comment/remove;200
42;" покупатель удаляет свое предложение на товар.
действие: delete-запрос к конечной точке ""/offer/remove"" с параметром offer_id.
ожидаемый ответ: подтверждение удаления предложения покупателя на товар.";покупатель удаляет свое предложение на товар.;"delete-запрос к конечной точке ""/offer/remove"" с параметром offer_id.";подтверждение удаления предложения покупателя на товар.;True;покупатель;delete;/offer/remove;200
43;" продавец удаляет отзыв о товаре от покупателя.
действие: delete-запрос к конечной точке ""/product/review/remove"" с параметром review_id.
ожидаемый ответ: подтверждение удаления отзыва о товаре от покупателя.";продавец удаляет отзыв о товаре от покупателя.;"delete-запрос к конечной точке ""/product/review/remove"" с параметром review_id.";подтверждение удаления отзыва о товаре от покупателя.;True;продавец;delete;/product/review/remove;200
44;" покупатель удаляет товар из корзины перед оформлением заказа.
действие: delete-запрос к конечной точке ""/cart/item/remove"" с параметром item_id.
ожидаемый ответ: подтверждение удаления товара из корзины перед оформлением заказа.";покупатель удаляет товар из корзины перед оформлением заказа.;"delete-запрос к конечной точке ""/cart/item/remove"" с параметром item_id.";подтверждение удаления товара из корзины перед оформлением заказа.;True;покупатель;delete;/cart/item/remove;200
45;" продавец удаляет комментарий покупателя под товаром.
действие: delete-запрос к конечной точке ""/product/comment/remove"" с параметром comment_id.
ожидаемый ответ: подтверждение удаления комментария покупателя под товаром.";продавец удаляет комментарий покупателя под товаром.;"delete-запрос к конечной точке ""/product/comment/remove"" с параметром comment_id.";подтверждение удаления комментария покупателя под товаром.;True;продавец;delete;/product/comment/remove;200
46;" покупатель удаляет свой отзыв о продукте.
действие: delete-запрос к конечной точке ""/product/review/remove"" с параметром review_id.
ожидаемый ответ: подтверждение удаления отзыва покупателя о продукте.";покупатель удаляет свой отзыв о продукте.;"delete-запрос к конечной точке ""/product/review/remove"" с параметром review_id.";подтверждение удаления отзыва покупателя о продукте.;True;покупатель;delete;/product/review/remove;200
47;" продавец удаляет заявку на возврат товара от покупателя.
действие: delete-запрос к конечной точке ""/return/request/remove"" с параметром request_id.
ожидаемый ответ: подтверждение удаления заявки на возврат товара от покупателя.";продавец удаляет заявку на возврат товара от покупателя.;"delete-запрос к конечной точке ""/return/request/remove"" с параметром request_id.";подтверждение удаления заявки на возврат товара от покупателя.;True;продавец;delete;/return/request/remove;200
48;" покупатель удаляет товар из своего списка покупок.
действие: delete-запрос к конечной точке ""/shopping-list/item/remove"" с параметром item_id.
ожидаемый ответ: подтверждение удаления товара из списка покупок покупателя.";покупатель удаляет товар из своего списка покупок.;"delete-запрос к конечной точке ""/shopping-list/item/remove"" с параметром item_id.";подтверждение удаления товара из списка покупок покупателя.;True;покупатель;delete;/shopping-list/item/remove;200
49;" продавец удаляет свой аккаунт из системы.
действие: delete-запрос к конечной точке ""/seller/account/remove"" с параметром seller_id.
ожидаемый ответ: подтверждение удаления аккаунта продавца из системы.";продавец удаляет свой аккаунт из системы.;"delete-запрос к конечной точке ""/seller/account/remove"" с параметром seller_id.";подтверждение удаления аккаунта продавца из системы.;True;продавец;delete;/seller/account/remove;200
50;"покупатель пытается удалить несуществующий товар из корзины.
действие: delete-запрос к конечной точке ""/cart/item/remove"" с недопустимым item_id.
ожидаемый ответ: код ошибки 404 - товар не найден в корзине.";покупатель пытается удалить несуществующий товар из корзины.;"delete-запрос к конечной точке ""/cart/item/remove"" с недопустимым item_id.";код ошибки 404 - товар не найден в корзине.;False;покупатель;delete;/cart/item/remove;404
51;"продавец пытается удалить несуществующее объявление из магазина.
действие: delete-запрос к конечной точке ""/store/product/remove"" с недопустимым product_id.
ожидаемый ответ: код ошибки 404 - объявление не найдено в магазине.";продавец пытается удалить несуществующее объявление из магазина.;"delete-запрос к конечной точке ""/store/product/remove"" с недопустимым product_id.";код ошибки 404 - объявление не найдено в магазине.;False;продавец;delete;/store/product/remove;404
52;"покупатель пытается удалить товар из корзины без указания item_id.
действие: delete-запрос к конечной точке ""/cart/item/remove"" без параметра item_id.
ожидаемый ответ: код ошибки 400 - не указан идентификатор товара.";покупатель пытается удалить товар из корзины без указания item_id.;"delete-запрос к конечной точке ""/cart/item/remove"" без параметра item_id.";код ошибки 400 - не указан идентификатор товара.;False;покупатель;delete;/cart/item/remove;400
53;"продавец пытается удалить комментарий, которого уже не существует.
действие: delete-запрос к конечной точке ""/product/comment/remove"" с недопустимым comment_id.
ожидаемый ответ: код ошибки 404 - комментарий не найден.";продавец пытается удалить комментарий, которого уже не существует.;"delete-запрос к конечной точке ""/product/comment/remove"" с недопустимым comment_id.";код ошибки 404 - комментарий не найден.;False;продавец;delete;/product/comment/remove;404
54;"покупатель пытается удалить свой аккаунт, но не авторизован.
действие: delete-запрос к конечной точке ""/account/remove"" без авторизации.
ожидаемый ответ: код ошибки 401 - необходима авторизация для удаления аккаунта.";покупатель пытается удалить свой аккаунт, но не авторизован.;"delete-запрос к конечной точке ""/account/remove"" без авторизации.";код ошибки 401 - необходима авторизация для удаления аккаунта.;False;покупатель;delete;/account/remove;401
55;"продавец пытается удалить товар из магазина другого продавца.
действие: delete-запрос к конечной точке ""/store/product/remove"" с недопустимым seller_id.
ожидаемый ответ: код ошибки 403 - нет доступа к удалению товара другого продавца.";продавец пытается удалить товар из магазина другого продавца.;"delete-запрос к конечной точке ""/store/product/remove"" с недопустимым seller_id.";код ошибки 403 - нет доступа к удалению товара другого продавца.;False;продавец;delete;/store/product/remove;403
56;"покупатель пытается удалить несуществующий адрес доставки из профиля.
действие: delete-запрос к конечной точке ""/profile/shipping-address/remove"" с недопустимым address_id.
ожидаемый ответ: код ошибки 404 - адрес доставки не найден в профиле.";покупатель пытается удалить несуществующий адрес доставки из профиля.;"delete-запрос к конечной точке ""/profile/shipping-address/remove"" с недопустимым address_id.";код ошибки 404 - адрес доставки не найден в профиле.;False;покупатель;delete;/profile/shipping-address/remove;404
57;"продавец пытается удалить отзыв о своем магазине, который был уже удален.
действие: delete-запрос к конечной точке ""/seller/review/remove"" с недопустимым review_id.
ожидаемый ответ: код ошибки 404 - отзыв не найден.";продавец пытается удалить отзыв о своем магазине, который был уже удален.;"delete-запрос к конечной точке ""/seller/review/remove"" с недопустимым review_id.";код ошибки 404 - отзыв не найден.;False;продавец;delete;/seller/review/remove;404
58;"покупатель пытается удалить товар из корзины, но сессия истекла.
действие: delete-запрос к конечной точке ""/cart/item/remove"" после истечения срока сессии.
ожидаемый ответ: код ошибки 401 - сессия истекла, необходима повторная авторизация.";покупатель пытается удалить товар из корзины, но сессия истекла.;"delete-запрос к конечной точке ""/cart/item/remove"" после истечения срока сессии.";код ошибки 401 - сессия истекла, необходима повторная авторизация.;False;покупатель;delete;/cart/item/remove;401
59;" продавец пытается удалить заказ, который уже был отгружен.
 действие: delete-запрос к конечной точке ""/order/remove"" с недопустимым order_id.
 ожидаемый ответ: код ошибки 403 - нельзя удалить уже отгруженный заказ.";продавец пытается удалить заказ, который уже был отгружен.;"delete-запрос к конечной точке ""/order/remove"" с недопустимым order_id.";код ошибки 403 - нельзя удалить уже отгруженный заказ.;False;продавец;delete;/order/remove;403
60;" покупатель пытается удалить товар из корзины, используя недействительный token.
 действие: delete-запрос к конечной точке ""/cart/item/remove"" с недействительным token.
 ожидаемый ответ: код ошибки 403 - недействительный токен, доступ запрещен.";покупатель пытается удалить товар из корзины, используя недействительный token.;"delete-запрос к конечной точке ""/cart/item/remove"" с недействительным token.";код ошибки 403 - недействительный токен, доступ запрещен.;False;покупатель;delete;/cart/item/remove;403
61;" продавец пытается удалить несуществующий товар из своего каталога.
 действие: delete-запрос к конечной точке ""/store/product/remove"" с недопустимым product_id.
 ожидаемый ответ: код ошибки 404 - товар не найден в каталоге продавца.";продавец пытается удалить несуществующий товар из своего каталога.;"delete-запрос к конечной точке ""/store/product/remove"" с недопустимым product_id.";код ошибки 404 - товар не найден в каталоге продавца.;False;продавец;delete;/store/product/remove;404
62;" покупатель пытается удалить заказ, который был уже оплачен.
 действие: delete-запрос к конечной точке ""/order/remove"" с недопустимым order_id.
 ожидаемый ответ: код ошибки 403 - нельзя удалить оплаченный заказ.";покупатель пытается удалить заказ, который был уже оплачен.;"delete-запрос к конечной точке ""/order/remove"" с недопустимым order_id.";код ошибки 403 - нельзя удалить оплаченный заказ.;False;покупатель;delete;/order/remove;403
